blockSize;gridSize;elapsedInit;elapsedSort
64;156250;0.001045;0.02881
64;156250;0.001035;0.02894
64;156250;0.001039;0.028806
64;156250;0.00103;0.028258
64;156250;0.001065;0.028685
64;156250;0.001023;0.027942
64;156250;0.00103;0.028085
64;156250;0.001038;0.028689
64;156250;0.001022;0.028678
64;156250;0.001056;0.0286
64;156250;0.001019;0.028604
128;78125;0.000867;0.025842
128;78125;0.000923;0.025622
128;78125;0.000877;0.025187
128;78125;0.000871;0.026386
128;78125;0.000881;0.025772
128;78125;0.000888;0.025707
128;78125;0.000872;0.025723
128;78125;0.000915;0.025718
128;78125;0.000879;0.025643
128;78125;0.000908;0.026091
128;78125;0.000867;0.026751
128;78125;0.001025;0.025456
128;78125;0.000881;0.02594
128;78125;0.000897;0.025699
128;78125;0.000934;0.025363
128;78125;0.000911;0.025795
128;78125;0.0009;0.02633
128;78125;0.000873;0.025635
128;78125;0.00088;0.026027
128;78125;0.000899;0.026087
128;78125;0.000989;0.025849
128;78125;0.00127;0.026237
128;78125;0.000905;0.025801
128;78125;0.000917;0.025648
128;78125;0.000864;0.026279
128;78125;0.000917;0.025657
128;78125;0.000882;0.025029
128;78125;0.000877;0.025535
128;78125;0.000914;0.025582
128;78125;0.000942;0.02628
128;78125;0.000889;0.025906
128;78125;0.000871;0.025731
128;78125;0.000899;0.02548
128;78125;0.000872;0.025784
128;78125;0.000935;0.026404
128;78125;0.000918;0.02657
128;78125;0.000853;0.026766
128;78125;0.001026;0.026458
128;78125;0.000894;0.02517
128;78125;0.000937;0.025456
128;78125;0.000925;0.026047
128;78125;0.000878;0.025908
128;78125;0.000894;0.02546
128;78125;0.000866;0.026544
128;78125;0.001087;0.02708
128;78125;0.000926;0.02615
128;78125;0.000977;0.026384
128;78125;0.000905;0.025987
128;78125;0.00087;0.02612
128;78125;0.000932;0.026528
256;39063;0.001506;0.02542
256;39063;0.000915;0.026305
256;39063;0.000884;0.027071
256;39063;0.000877;0.025302
256;39063;0.000883;0.024816
256;39063;0.000876;0.025649
256;39063;0.000897;0.025708
256;39063;0.000878;0.025767
256;39063;0.000888;0.024726
256;39063;0.000885;0.025079
256;39063;0.000879;0.024877
256;39063;0.000891;0.025
256;39063;0.000884;0.025578
256;39063;0.000876;0.025282
256;39063;0.001009;0.026262
256;39063;0.000887;0.025749
256;39063;0.000874;0.024729
256;39063;0.000917;0.025518
256;39063;0.00086;0.026173
256;39063;0.000906;0.026552
256;39063;0.000976;0.027407
256;39063;0.000846;0.025508
256;39063;0.000862;0.024925
256;39063;0.000896;0.025417
256;39063;0.000935;0.024976
