blockSize;gridSize;elapsedInit;elapsedSort
64;1562500;0.005367;0.232801
64;1562500;0.005504;0.190152
64;1562500;0.005341;0.198227
64;1562500;0.005416;0.196317
64;1562500;0.00539;0.18912
64;1562500;0.005392;0.193252
64;1562500;0.006012;0.204448
64;1562500;0.00549;0.195693
64;1562500;0.005389;0.198948
64;1562500;0.005326;0.193714
64;1562500;0.005385;0.199167
64;1562500;0.006278;0.209086
64;1562500;0.005741;0.187811
64;1562500;0.005347;0.194145
64;1562500;0.005353;0.191018
64;1562500;0.005401;0.189161
64;1562500;0.00544;0.237739
64;1562500;0.005564;0.190825
64;1562500;0.005423;0.187776
64;1562500;0.005474;0.193424
64;1562500;0.005411;0.19024
64;1562500;0.00543;0.191862
64;1562500;0.005572;0.196408
64;1562500;0.005498;0.191783
64;1562500;0.005394;0.189808
128;781250;0.004364;0.191379
128;781250;0.004384;0.19419
128;781250;0.004846;0.195086
128;781250;0.004503;0.199317
128;781250;0.004412;0.199264
128;781250;0.005043;0.191043
128;781250;0.004419;0.190502
128;781250;0.004423;0.231597
128;781250;0.004478;0.201921
128;781250;0.004401;0.18607
128;781250;0.004373;0.188425
128;781250;0.004441;0.193387
128;781250;0.004367;0.189067
128;781250;0.005368;0.212183
128;781250;0.004364;0.187082
128;781250;0.004351;0.193852
128;781250;0.004525;0.190801
128;781250;0.004334;0.190457
128;781250;0.005324;0.213984
128;781250;0.004403;0.193537
128;781250;0.004515;0.18737
128;781250;0.004364;0.199041
128;781250;0.004444;0.192482
128;781250;0.004429;0.208808
128;781250;0.004323;0.190067
128;781250;0.004368;0.191566
128;781250;0.00436;0.18479
128;781250;0.004358;0.192463
128;781250;0.004349;0.188195
128;781250;0.004838;0.198994
128;781250;0.004332;0.18648
128;781250;0.004326;0.187836
128;781250;0.00433;0.189735
128;781250;0.004418;0.188603
128;781250;0.004768;0.197244
128;781250;0.004478;0.195259
128;781250;0.004398;0.192589
128;781250;0.004377;0.190431
128;781250;0.004381;0.188354
128;781250;0.004601;0.240271
128;781250;0.004387;0.194347
128;781250;0.004384;0.19182
128;781250;0.004352;0.195827
128;781250;0.004384;0.191921
128;781250;0.004371;0.188478
128;781250;0.004425;0.192612
128;781250;0.00432;0.192142
128;781250;0.004326;0.18532
128;781250;0.004399;0.193408
128;781250;0.004333;0.191708
256;390625;0.004468;0.235129
256;390625;0.004831;0.198074
256;390625;0.00435;0.191409
256;390625;0.004474;0.191679
256;390625;0.004347;0.196536
256;390625;0.004312;0.198384
256;390625;0.004331;0.193237
256;390625;0.004261;0.190841
256;390625;0.004371;0.193633
256;390625;0.004324;0.189831
256;390625;0.00437;0.19142
256;390625;0.005369;0.222364
256;390625;0.00436;0.193862
256;390625;0.004352;0.186713
256;390625;0.004388;0.193645
256;390625;0.004329;0.191454
256;390625;0.005781;0.223658
256;390625;0.004492;0.1949
256;390625;0.004336;0.190189
256;390625;0.00442;0.192689
256;390625;0.004343;0.189896
256;390625;0.004289;0.211525
256;390625;0.004435;0.198581
256;390625;0.004331;0.187914
256;390625;0.004338;0.197904
256;390625;0.004356;0.187616
256;390625;0.004346;0.192226
256;390625;0.004347;0.192538
256;390625;0.004508;0.191172
256;390625;0.004351;0.192162
256;390625;0.004296;0.19297
256;390625;0.004308;0.192273
256;390625;0.004621;0.194083
256;390625;0.004318;0.188035
256;390625;0.004334;0.187113
256;390625;0.004377;0.197229
256;390625;0.004306;0.191467
256;390625;0.004342;0.228795
256;390625;0.004412;0.191911
256;390625;0.004385;0.191189
256;390625;0.004357;0.193612
256;390625;0.00443;0.188042
256;390625;0.004425;0.188061
256;390625;0.005258;0.211339
256;390625;0.004337;0.198497
256;390625;0.00498;0.191615
256;390625;0.004413;0.186536
256;390625;0.004426;0.192585
256;390625;0.005556;0.20897
256;390625;0.00441;0.19337
512;195313;0.004728;0.187438
512;195313;0.004591;0.18956
